Obra;Apellidos Autor;Nombre Autor;Tonalidad;Opus;Duración
El vals;Ravel; Maurice;;;12' 17
Sinfonia n. 1;Bizet; Georges;Do M;88;34' 56
Pslam 42: Wie der Hirsch schreit nach frischem Wasser”;Mendelssohn-Bartholdy; Felix; ;79;1' 46
Socrates;Satie; Erik;;;33' 59
Divertimento para violin, alto y violonchelo;Mozart; Wolfgang Amadeus;Mi b M;K 563;50' 33
Dos piezas para orquesta (Noche de verano en el rio);Delius; Frederick;;;5' 41
Trio para piano, violin y violonchelo;Ravel; Maurice;;;25' 26
Danza hungara n. 12;Brahms; Johannes;;;2' 29
Los pescadores de Perlas;Bizet; Georges;;;103' 43
Suite Hary Janos;Kodaly; Zoltan;;;22' 46
El sitio de zaragoza;Oudrid; ;;;7' 58
Sinfonia n. 8;Schubert; Franz;Si m;D 759;26' 08
Cavalleria Rusticana;Mascagni; Pietro;;;78' 53
Obertura Tragica;Brahms; Johannes;Re m;81;13' 52
Sinfonia n. 94, “La sorpresa”;Haydn; Franz Joseph;Sol M;;24' 07
Piezas liricas – Libro 1;Grieg; Edvard Hagerup;;12;4' 12
Fantasia para un gentilhombre;Rodrigo; Joaquin;;;21' 42
Concierto de Brandenburgo n. 5;Bach; Johann Sebastian;Re M;BWV 1050;21' 36
Danza del molinero de “Sombrero de tres picos”;Falla; Manuel de;;;2' 49
Concierto para piano n. 22;Mozart; Wolfgang Amadeus;Mi b M;K 482;35' 49
Scherzo Caprichoso;Dvorak; Antonin;;66;14' 00
El lago de los cisnes;Tchaikovsky; Piotr Ilyich;;20;144' 31
Adagio mesto y alegretto;Weiss; Leopold Sylvius;;;7' 41
Cuarteto para cuerdas n. 14 “La muerte y la doncella”;Schubert; Franz;;D 810;46' 49
Cuarteto para cuerdas n. 15;Beethoven; Ludwig Van;La m;132;41' 05
Cancion Triunfal (Apocalipsis 19);Brahms; Johannes;;55;23' 46
Para Elisa. Bagatela.;Beethoven; Ludwig Van;La m;Wo0.59;3' 08
Variaciones sobre un tema de Robert Schumann;Brahms; Johannes;Fa # m;9;19' 53
Sonata para piano y violin n. 5 “Spring”;Beethoven; Ludwig Van;Fa M;24;23' 19
Juegos de nignos. 12 piezas para dos pianos.;Bizet; Georges;;22;12' 12
Adios Nonino;Piazzolla; Astor;;;8' 03
Romance;Dvorak; Antonin;;11;12' 59
Guia de orquesta para jovenes. Variaciones y fuga sobre ;Britten; Benjamin;;34;21' 56
La ultima noche;Tchaikovsky; Piotr Ilyich;;060 / 1;2' 56
6 Bagatelas;Beethoven; Ludwig Van;;126;22' 25
Motete “O quam gloriosum”;De Victoria; Tomas Luis;;;34' 06
Concierto para violoncello;Elgar; Edward;Mi m;85;30' 09
Metamorfosis sobre un tema de C. M. V. Weber;Hindemith; Paul;;;19' 43
Canto pues esta cancion;Tchaikovsky; Piotr Ilyich;;016 / 4;2' 31
Cuarteto para cuerdas n. 14;Beethoven; Ludwig Van;Do # m;131;37' 48
Peer Gynt;Grieg; Edvard Hagerup;;23;68' 18
Concierto para trompeta y orquesta;Mozart; Leopold;Re M;;14' 51
Marcha de Sandar (Escenas caucasianas);Ippolitov-ivanov; Mikhail;;10;3' 39
Estudio;Rachmaninov; Sergei;Mi b m;;4' 59
La Creacion. n. 30. Duo de Adan y Eva.;Haydn; Franz Joseph;;;3' 28
Scherzino mexicana;Ponce; Manuel;;;2' 39
Concierto para flauta, cuerno y orquesta;Mozart; Wolfgang Amadeus;Do M;K 299;30' 27
Pavana n. 2;Milan; Luis;;;1' 43
Concierto grosso n. 12;Corelli; Arcangelo;Fa M;06-dic;11' 46
Instante terrible;Tchaikovsky; Piotr Ilyich;;028 / 6;3' 08
Vals n. 14;Chopin; Frederic;Mi m;Postumo;2' 45
Doble concierto para violin, violoncello y orquesta;Brahms; Johannes;La m;102;33' 37
Octeto;Schubert; Franz;Fa M;D 072;10' 02
Imagenes;Debussy; Claude;;;37' 15
Sylvia;Delibes; Leo;;;98' 41
Sarabande;Corelli; Arcangelo;;;3' 15
;Mozart; Wolfgang Amadeus;Re M;;15'
La cancion de Zemfira;Tchaikovsky; Piotr Ilyich;;;2' 08
El barbero de Sevilla;Rossini; Gioacchino Antonio;;;129' 17
Misa;Beethoven; Ludwig van;Do M;;39' 19
Sinfonia n. 7;Dvorak; Antonin;Re m;70;40' 43
Aida;Verdi; Giuseppe;;;63' 10
Orfeo: Poema Sinfonico n. 4;Liszt; Franz;;;11' 55
Lucia di Lammermoor;Donizetti; Gaetano;;;123' 58
Concierto para piano y orquesta;Schumann; Robert;La m;54;33' 18
Concierto para piano y orquesta n. 21. 2º mov.;Mozart; Wolfgang Amadeus;Do M;K 467;7' 08
Concierto para piano n. 1;Beethoven; Ludwig Van;Do M;15;39' 03
Serenata melancolica;Tchaikovsky; Piotr Ilyich;;26;10' 03
Obertura “Egmont”;Beethoven; Ludwig Van;;84;8' 18
Polka de danzas checas;Smetana; Bedrich;La m;;2' 38
Momento Musical;Rachmaninov; Sergei;Re b M;16-may;5' 10
Minueto del Quinteto n. 5;Boccherini; Luigi;Fa M;13-may;3' 48
Obertura de “El Corsario”;Berlioz; Hector;;21;7' 41
Madama Butterfly;Puccini; Giacomo;;;40' 04
Danza de las jovenes polovtsianas (El principe Igor);Borodin; Alexander;;;2' 32
Concierto para piano y orquesta n. 2;Tchaikovsky; Piotr Ilyich;Sol M;44;46' 31
On the Town: 3 episodios de danza.;Bernstein; Leonard;;;10' 51
Pavana n. 6;Milan; Luis;;;0' 46
Sonata para piano y violin n. 1 “Regenlied”;Brahms; Johannes;Sol M;78;28' 29
Suite (obertura) n. 3;Bach; Johann Sebastian;Re M;BWV 1068;19' 49
Cuarteto de cuerda;Verdi; Giuseppe;Mi m;;22' 41
Sinfonia n. 2;Brahms; Johannes;Re M;73;39' 56
Bagatela “Para Elisa”;Beethoven; Ludwig Van;La m;WoO 59;3' 58
Sinfonia n. 35 “Haffner”;Mozart; Wolfgang Amadeus;Re M;K 385;21' 37
Marcha egipcia;Strauss; Johann (Hijo);;335;2' 39
Concierto de Brandenburgo n. 6;Bach; Johann Sebastian;Si b M;BWV 1051;18' 00
Preludio n. 1;Mendelssohn-Bartholdy; Felix;;35;2' 36
Concierto para piano y orquesta n. 2;Brahms; Johannes;Si M;83;51' 43
Nocturno n. 9;Chopin; Frederic;Si M;32 / 1;5' 20
Serenata Nocturna;Mozart; Wolfgang Amadeus;Re M;K 239;12' 59
Un juego musical;Mozart; Wolfgang Amadeus;;;21' 05
Suite Francesa n. 4;Bach; Johann Sebastian;Mi b M;BWV 0815;12' 31
Partita para violin solo;Bach; Johann Sebastian;Re m;BWV 1004;30' 38
Musica Acuatica, Suite;Haendel; Georges Friederic;;;16' 55
Rapsodia para violin y orquesta n. 1;Bartok; Bela;;;9' 69
El Cid. Madrilegna;Massenet;;;;4' 13
El suegno de una noche de verano;Mendelssohn-Bartholdy; Felix;;21;11' 44
Nocturno n. 16;Chopin; Frederic;Mi b M;55 / 2;5' 31
Lagrima;Tarrega; Francisco;;;2' 19
Vals Rosas del Sur;Strauss; Johann (Hijo);;388;9' 22
Concierto n. 2 para clavicordio, cuerdas y continuo;Bach; Johann Sebastian;Mi M;BWV 1053;19' 09
Gopak (La feria de Sorotchintsky);Mussorgsky; Modest;;;1' 45
Asturias de la Suite Espagnola;Albeniz; Isaac;;;6' 45
Concierto Grosso;Haendel; Georges Friederic;Do m;06-ago;16' 55
Habanera;Garcia Abril; Anton;;;3' 47
Danza de las alegres mascotas;Ketelbey; Albert;;;6' 44
Concierto para piano y orquesta n. 3;Rachmaninov; Sergei;Re m;30;44' 17
Preludio n. 1;Villa-Lobos; Heitor;;;5' 10
Agnos de peregrinaje I – III;Liszt; Franz;;;147' 16
Sinfonia n. 1;Brahms; Johannes;Do m;68;44' 27
Momento musical n. 3;Schubert; Franz;;D 780;1' 38
Sinfonia n. 38 “Praga”;Mozart; Wolfgang Amadeus;Re M;K 504;29' 18
Piezas liricas – Libro 6;Grieg; Edvard Hagerup;;57;4' 50
Abodah (Melodia del Yom Kippur);Bloch; Ernest;;;6' 08
Misa Solemne.;Mozart; Wolfgang Amadeus;Do M;K 337;26' 10
Sinfonia n. 84;Haydn; Franz Joseph;Mi b M;;27' 46
Loreley-Rheinklange;Strauss; Johann (Padre);;154;9' 43
Peer Gynt, Suite n. 1;Grieg; Edvard Hagerup;;46;14' 10
Concierto Grosso;Haendel; Georges Friederic;Fa M;06-sep;15' 02
Allegro de Concierto;Granados; Enrique;;;8' 21
Lleva lejos mi corazon;Tchaikovsky; Piotr Ilyich;;;2' 21
Sinfonia de los juguetes;Mozart; Leopold;Do M;;9' 33
Peter Grimes;Britten; Benjamin;;;146' 18
Concierto para violin y orquesta n. 5;Mozart; Wolfgang Amadeus;La M;K 219;37' 12
Cordoba;Albeniz; Isaac;;;6' 02
Cuatro ultimas canciones;Strauss; Richard;;;22' 19
Seis conciertos. 3. “Il Gardellino”.;Vivaldi; Antonio;;RV 428 (10);10' 15
Variaciones sobre un tema hungaro;Brahms; Johannes;Re M;021 / 2;6' 23
El cucu;Tchaikovsky; Piotr Ilyich;;054 / 8;2' 12
En un mercado Persa;Ketelbey; Albert;;;6' 47
